Dia,ID,Fila,Columna,Susceptibles,Expuestos,Infectados,Recuperados,Fallecidos,Vacunados
1,1,0,0,269841,2815,26010,1705,320,9434
1,1,0,1,10,0,0,0,0,0
1,1,0,2,29,0,1,0,0,0
1,0,0,3,0,0,0,0,0,0
1,2,0,4,19,0,1,0,0,0
1,2,0,5,18,0,2,0,0,0
1,1,1,0,38,0,2,0,0,0
1,1,1,1,10,0,0,0,0,0
1,1,1,2,33,0,2,0,0,0
1,0,1,3,0,0,0,0,0,0
1,2,1,4,14,0,1,0,0,0
1,2,1,5,20,0,4,0,0,1
1,3,2,0,33,0,2,0,0,0
1,1,2,1,19,0,1,0,0,0
1,0,2,2,0,0,0,0,0,0
1,4,2,3,27,0,3,0,0,0
1,4,2,4,10,0,0,0,0,0
1,4,2,5,19,0,1,0,0,0
1,3,3,0,23,0,2,0,0,0
1,3,3,1,13,0,2,0,0,0
1,4,3,2,32,0,7,0,0,1
1,4,3,3,496122,252,12431,165,32,3351
1,4,3,4,26,0,3,0,0,1
1,4,3,5,19,0,1,0,0,0
1,3,4,0,14,0,1,0,0,0
1,3,4,1,1347,8,106,5,0,34
1,3,4,2,32,0,3,0,0,0
1,4,4,3,18,0,2,0,0,0
1,4,4,4,15,0,0,0,0,0
1,0,4,5,0,0,0,0,0,0
1,3,5,0,23,0,2,0,0,0
1,3,5,1,24,0,5,0,0,1
1,3,5,2,10,0,0,0,0,0
1,2,5,3,367876,5304,39904,3153,585,15622
1,0,5,4,0,0,0,0,0,0
1,0,5,5,0,0,0,0,0,0
2,1,0,0,250781,5017,36279,3092,587,14369
2,1,0,1,10,0,0,0,0,0
2,1,0,2,24,0,5,0,0,1
2,0,0,3,0,0,0,0,0,0
2,2,0,4,17,0,3,0,0,0
2,2,0,5,17,0,3,0,0,0
2,1,1,0,33,0,6,0,0,1
2,1,1,1,10,0,0,0,0,0
2,1,1,2,27,0,7,0,0,1
2,0,1,3,0,0,0,0,0,0
2,2,1,4,13,0,2,0,0,0
2,2,1,5,17,1,6,0,0,1
2,3,2,0,28,0,6,0,0,1
2,1,2,1,19,0,1,0,0,0
2,0,2,2,0,0,0,0,0,0
2,4,2,3,24,0,6,0,0,0
2,4,2,4,10,0,0,0,0,0
2,4,2,5,17,0,3,0,0,0
2,3,3,0,23,0,2,0,0,0
2,3,3,1,11,0,4,0,0,0
2,4,3,2,32,0,7,0,0,1
2,4,3,3,434575,5559,50005,3385,637,18192
2,4,3,4,25,0,4,0,0,1
2,4,3,5,18,0,2,0,0,0
2,3,4,0,13,0,2,0,0,0
2,3,4,1,1148,39,196,23,3,91
2,3,4,2,30,0,5,0,0,0
2,4,4,3,16,0,4,0,0,0
2,4,4,4,14,0,1,0,0,0
2,0,4,5,0,0,0,0,0,0
2,3,5,0,21,0,4,0,0,0
2,3,5,1,21,0,7,0,0,2
2,3,5,2,10,0,0,0,0,0
2,2,5,3,341590,8739,53053,5309,999,22754
2,0,5,4,0,0,0,0,0,0
2,0,5,5,0,0,0,0,0,0
3,1,0,0,220797,12041,43862,7184,1336,24905
3,1,0,1,10,0,0,0,0,0
3,1,0,2,21,0,8,0,0,1
3,0,0,3,0,0,0,0,0,0
3,2,0,4,15,0,5,0,0,0
3,2,0,5,16,0,4,0,0,0
3,1,1,0,29,0,9,0,0,2
3,1,1,1,10,0,0,0,0,0
3,1,1,2,24,0,10,0,0,1
3,0,1,3,0,0,0,0,0,0
3,2,1,4,13,0,2,0,0,0
3,2,1,5,14,2,8,0,0,1
3,3,2,0,27,0,7,0,0,1
3,1,2,1,19,0,1,0,0,0
3,0,2,2,0,0,0,0,0,0
3,4,2,3,22,0,8,0,0,0
3,4,2,4,9,0,1,0,0,0
3,4,2,5,17,0,3,0,0,0
